Text#,Type,Issued,Title,Language,Authors,Subjects,LoCC,Bookshelves,category
39,Text,1992-09-01,Hitchhiker's Guide to the Internet,en,"Krol, Ed, 1951-",Internet; Computer networks,TK,,T
63,Text,1993-04-01,"The Number ""e""",en,Unknown,Mathematics; Mathematical constants,QA,Historical Fiction,Q
132,Text,1994-05-01,The Art of War,en,"Sunzi, active 6th century B.C.; Giles, Lionel, 1875-1958 [Translator]",Military art and science -- Early works to 1800; War -- Early works to 1800,U,,U
248,Text,1995-04-01,Webster's Unabridged Dictionary (2nd 100 Pages),en,"Webster, Noah, 1758-1843",English language -- Dictionaries,AG; PE,,A
252,Text,1995-04-01,"Copyright Law of the United States of America
Contained in Title 17 of the United States Code",en,Library of Congress. Copyright Office; United States,Copyright -- United States,KF,,K
276,Text,1995-06-01,"Franz Haydn's 104th Symphony [1794-5]
MIDI file",en,"Haydn, Joseph, 1732-1809",Music,M,,M
354,Text,1995-11-01,The Story of a Pioneer,en,"Jordan, Elizabeth Garver, 1867-1947; Shaw, Anna Howard, 1847-1919","Shaw, Anna Howard, 1847-1919; Women -- Suffrage -- United States; Women social reformers -- United States -- Biography; Women's rights -- United States",JK,,J
404,Text,1996-01-01,Industrial Biography: Iron Workers and Tool Makers,en,"Smiles, Samuel, 1812-1904",Industrial arts -- Biography; Iron industry and trade -- Great Britain -- Biography,T,,T
465,Text,1996-03-01,The Mountains,en,"White, Stewart Edward, 1873-1946",California -- Description and travel; Outdoor life,PS,,P
609,Text,1996-08-01,"America, Through the Spectacles of an Oriental Diplomat",en,"Wu, Tingfang, 1842-1922",United States -- Civilization -- 1865-1918; United States -- Social life and customs -- 1865-1918; China -- Social life and customs -- 1644-1912; China -- Civilization -- 1644-1912,E151,,E
634,Text,1996-08-01,Miscellaneous Mathematical Constants,en,"Plouffe, Simon, 1956- [Editor]",Mathematical constants,QA,Mathematics,Q
725,Text,1996-11-01,Men of Invention and Industry,en,"Smiles, Samuel, 1812-1904",Inventors -- Biography; Industrial arts -- Biography,T,,T
816,Text,2006-01-21,Democracy in America — Volume 2,en,"Tocqueville, Alexis de, 1805-1859; Reeve, Henry, 1813-1895 [Translator]",United States -- Politics and government; United States -- Social conditions; Democracy -- United States,JK,,J
886,Text,1997-04-01,Letters from the Cape,en,"Duff Gordon, Lucie, Lady, 1821-1869",Cape of Good Hope (South Africa) -- Description and travel,DT,,D
908,Text,2006-03-22,Treatise on Parents and Children,en,"Shaw, Bernard, 1856-1950",Essays; Parent and child,HQ,,H
1058,Text,1997-10-01,The Mirror of the Sea,en,"Conrad, Joseph, 1857-1924","Conrad, Joseph, 1857-1924 -- Travel; Seafaring life",G; PR,,G
1201,Text,1998-02-01,An Essay on the Trial By Jury,en,"Spooner, Lysander, 1808-1887",Jury -- United States; Jury -- Great Britain,K,,K
1240,Text,1998-03-01,The Playboy of the Western World: A Comedy in Three Acts,en,"Synge, J. M. (John Millington), 1871-1909",Ireland -- Drama,PR,,P
1248,Text,2006-02-19,"Last of the Great Scouts: The Life Story of William F. Cody [""Buffalo Bill""]",en,"Wetmore, Helen Cody","Buffalo Bill, 1846-1917; Scouts (Reconnaissance) -- West (U.S.) -- Biography; Entertainers -- United States -- Biography; West (U.S.) -- Biography; Frontier and pioneer life -- West (U.S.); Buffalo Bill's Wild West Show; Pioneers -- West (U.S.) -- Biography",F590.3,,F
1370,Text,1998-07-01,Autobiography of Andrew Dickson White — Volume 2,en,"White, Andrew Dickson, 1832-1918","Cornell University; Diplomats -- United States -- Biography; White, Andrew Dickson, 1832-1918",E660,,E
1378,Text,1998-07-01,The Land of Footprints,en,"White, Stewart Edward, 1873-1946","Africa, East -- Description and travel; Hunting -- Africa, East",SK,,S
1488,Text,2006-02-15,"The True Story of Christopher Columbus, Called the Great Admiral",en,"Brooks, Elbridge S. (Elbridge Streeter), 1846-1902","Columbus, Christopher -- Juvenile literature; Explorers -- Juvenile literature",E011,,E
1574,Text,1998-12-01,Historic Girls: Stories Of Girls Who Have Influenced The History Of Their Times,en,"Brooks, Elbridge S. (Elbridge Streeter), 1846-1902",Biography -- Juvenile literature; Girls -- Biography,CT; PZ,,C
1615,Text,1999-01-01,"Old English Libraries
The Making, Collection, and Use of Books During the Middle Ages",en,"Savage, Ernest Albert, 1877-1966","Libraries -- England -- History -- 400-1400; Books and reading -- England -- History -- To 1500; Book collecting -- England -- History -- To 1500; Manuscripts, Medieval -- England; Library catalogs -- England; Scriptoria -- England",Z,Bibliomania,Z
1662,Text,1999-03-01,The 1997 CIA World Factbook,en,United States. Central Intelligence Agency,"World politics -- Handbooks, manuals, etc.; Geography -- Handbooks, manuals, etc.; Political science -- Handbooks, manuals, etc.; Political statistics -- Handbooks, manuals, etc.",G,CIA World Factbooks,G
1663,Text,1999-03-01,"Webster's Seventh of March Speech and the Secession Movement, 1850",en,"Foster, Herbert Darling, 1863-1927; Stephenson, Nathaniel W. (Nathaniel Wright), 1867-1935 [Commentator]","Webster, Daniel, 1782-1852. Seventh of March speech; Secession",E300,,E
1705,Text,1999-04-01,A History of Science — Volume 1,en,"Williams, Edward Huntington, 1868-1944; Williams, Henry Smith, 1863-1943",Science -- History,Q,,Q
1738,Text,1999-05-01,Statesman,en,"Plato, 427? BCE-347? BCE; Jowett, Benjamin, 1817-1893 [Translator]",Classical literature; Political science -- Early works to 1800,JC; PA,,J
1788,Text,1999-06-01,Sir John Oldcastle,en,"Shakespeare (spurious and doubtful works), 1564-1616","Oldcastle, John, Sir, -1417 -- Drama",PR,,P
1946,Text,2006-02-26,On War,en,"Clausewitz, Carl von, 1780-1831; Graham, J. J. (James John) [Translator]",Military art and science; War,U,,U
